Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Bid Strategy Type,Max CPC,Networks,Location,Location Type,Language,Ad Group,Ad Group Status,Ad Group Default Max CPC,Keyword,Criterion Type,Keyword Status,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Ad Type,Ad Status,Path 1,Path 2
Search - High Intent,Search,Paused,12,Manual CPC,2.50,Google Search,Montreal (Quebec; Canada),Presence,en;fr,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,coliving montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,co-living montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,coliving in montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,co-living spaces montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,montreal coliving,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,coliving montreal all inclusive,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG1 - Coliving Montreal,,,,,,https://coliville.com/en/apply,Coliving in Montreal,Furnished Rooms From $160/wk,All-Inclusive Coliving,WiFi & Utilities Included,No Year-Long Lease Required,2 Locations Across Montreal,Apply Now - Spots Fill Fast,From C$160/Week All Included,Furnished & Ready to Move In,Coliving for Students & Pros,Near McGill & Concordia,Flexible 3-12 Month Terms,Community-Focused Living,Zero Hassle One Price,Tour Our Spaces Today,All-inclusive coliving in Montreal. Furnished rooms with WiFi & utilities included.,Flexible terms from 3 months. Move-in ready rooms for students & young professionals.,From $160/week with everything included. No surprise bills. Apply to Coliville today.,2 prime locations: Shaughnessy Village and NDG. Furnished & flexible coliving.,Responsive search ad,Enabled,coliving,montreal
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,furnished rooms montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,furnished room for rent montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,all inclusive furnished room montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,meublé montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,chambre meublée montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,furnished room all inclusive montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG2 - Furnished Rooms,,,,,,https://coliville.com/en/apply,Furnished Rooms in Montreal,All-Inclusive From $160/wk,Move-In Ready Rooms,WiFi & Utilities Included,No Year-Long Lease Required,2 Locations Across Montreal,Apply Now - Spots Fill Fast,Fully Furnished & Equipped,Coliving for Students & Pros,Near McGill & Concordia,Flexible 3-12 Month Terms,Community-Focused Living,Zero Hassle One Price,Cleaning Included Weekly,Tour Our Spaces Today,Furnished rooms in Montreal with WiFi utilities and cleaning included. From $160/week.,All-inclusive furnished rooms for students and professionals. Flexible 3-month leases.,Move into a furnished room in Montreal today. No furniture needed. Everything is included.,2 locations: Shaughnessy Village and NDG. Furnished flexible and community-focused.,Responsive search ad,Enabled,furnished,rooms
Search - High Intent,,,,,,,,,,AG3 - Student Housing,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,student housing montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,student rooms montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,student accommodation montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,logement étudiant montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,student coliving montreal,Exact,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,housing for students montreal,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG3 - Student Housing,,,,,,https://coliville.com/en/apply,Student Housing Montreal,All-Inclusive From $160/wk,Near McGill & Concordia,WiFi & Utilities Included,No Year-Long Lease Required,2 Locations Across Montreal,Apply Now - Spots Fill Fast,Furnished Student Rooms,Coliving for Students & Pros,Move In Today,Flexible 3-12 Month Terms,Community-Focused Living,Zero Hassle One Price,Near UQAM & Metro,Tour Our Spaces Today,Student housing in Montreal from $160/week. Furnished rooms with WiFi and utilities.,All-inclusive student rooms near McGill Concordia and UQAM. Flexible leases from 3 months.,Move into a furnished student room today. No furniture shopping. Everything included.,2 locations near Montreal universities. Furnished flexible and student-focused.,Responsive search ad,Enabled,student,housing
Search - High Intent,,,,,,,,,,AG4 - Near Universities,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG4 - Near Universities,,,housing near concordia,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG4 - Near Universities,,,housing near mcgill,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
Search - High Intent,,,,,,,,,,AG4 - Near Universities,,,rooms near uqam,Phrase,Enabled,https://coliville.com/en/apply,,,,,,,,,,,,,,,,,,,,
